"LOAN_AMOUNT","LOAN_PURPOSE","FIRST_NAME","LAST_NAME","HOME_ADDRESS","CITY","STATE","ZIP_CODE","DATE_OF_BIRTH","INDIVIDUAL_ANNUAL_INCOME","ADDITIONAL_ANNUAL_INCOME","EMAIL_ADDRESS","PASSWORD"
"2000","Pay off Credit Cards","Carlton","Ernesto","3535 SEVERN AVE STE 11","METAIRIE","LA","70002","04/26/1997","142082","13720","candidate+20211118142211608@upgrade-challenge.com",",(bmd2IYj1"
"2000","Pay off Credit Cards","Joey","Tribbiani","2110 GOLDEN GATE AVE","SAN FRANCISCO","CA","94118","12/23/1942","194891","9959","candidate+20211118142211637@upgrade-challenge.com",")v04,LcfgW"
"2000","Pay off Credit Cards","Kangeyan","Passoubady","5847 SOUTHBRIDGE WAY","DUBLIN","CA","94568","01/23/1979","156350","7388","candidate+20211118142211644@upgrade-challenge.com","RhshQ)7&2q"
"2000","Pay off Credit Cards","Chandler","Bing","11621 W WINDSOR AVE","AVONDALE","AZ","85392","12/24/1948","178416","6610","candidate+20211118142211651@upgrade-challenge.com","eL8H7&kxj&"
"2000","Pay off Credit Cards","Daniels","Black","441 DEMOCRAZY PLACE","APEX","NC","27523","12/10/1931","162091","5689","candidate+20211118142211657@upgrade-challenge.com","e+G8lxn+C8"
"2000","Pay off Credit Cards","Kangeyan","Passoubady","5847 SOUTHBRIDGE WAY","DUBLIN","CA","94568","09/28/1966","187858","17313","candidate+20211118142211663@upgrade-challenge.com","w8x'XCl8v+"
"2000","Pay off Credit Cards","Racheal","Greene","1825 N 17TH AVE","PHOENIX","AZ","85007","12/08/1942","149748","9991","candidate+20211118142211669@upgrade-challenge.com","rhaGw28""P+"
"2000","Pay off Credit Cards","Chandler","Bing","425 1ST ST","SAN FRANCISCO","CA","94105","02/15/1971","133391","13931","candidate+20211118142211675@upgrade-challenge.com","8*Oebh8!oD"
"2000","Pay off Credit Cards","Cruz","Ortiz","101 ROBERT E LEE BLVD","NEW ORLEANS","LA","70124","07/11/1968","131527","15402","candidate+20211118142211680@upgrade-challenge.com","2OuNt'h0a"""
"2000","Pay off Credit Cards","Dixon","Shaw","39 RUFFED GROUSE","CHAPEL HILL","NC","27517","05/19/1942","131361","6713","candidate+20211118142211686@upgrade-challenge.com","#x*qDCrf56"
"2000","Pay off Credit Cards","John","Depp","32648 N 40TH PL","CAVE CREEK","AZ","85331","09/01/1979","171334","9612","candidate+20211118142211691@upgrade-challenge.com",")vHdm1e+P6"
"2000","Pay off Credit Cards","Racheal","Greene","241 ASHBURY ST","SAN FRANCISCO","CA","94117","05/18/1965","162554","6008","candidate+20211118142211696@upgrade-challenge.com",",0Rb4nNji"""
"2000","Pay off Credit Cards","David","Miller","717 CLEARVIEW PKWY","METAIRIE","LA","70001","08/15/1997","158553","9121","candidate+20211118142211702@upgrade-challenge.com","!VbC8lp8w#"
"2000","Pay off Credit Cards","Kelly","Hop","9078 N MALPAIS RD","WINKELMAN","AZ","85192","04/06/1954","152388","13103","candidate+20211118142211707@upgrade-challenge.com","vqkG*0i2S'"
"2000","Pay off Credit Cards","Kelly","Hop"," POPLAR ST","MARKS","MS","38646","07/24/1985","167254","13906","candidate+20211118142211711@upgrade-challenge.com",")dyTa4#tQ5"
"2000","Pay off Credit Cards","Racheal","Greene","401 OXFORD","OXFORD","MS","38655","09/13/1962","136949","10052","candidate+20211118142211717@upgrade-challenge.com","0qd6WsjB(!"
"2000","Pay off Credit Cards","Ross","Geller","13238 W EDGEMONT AVE","GOODYEAR","AZ","85395","10/29/1990","161035","14456","candidate+20211118142211721@upgrade-challenge.com","uBx!pA)p34"
